CBTS LINE_ID,route_id,Actual Route,fare_type,DIRECTION,SERVICE_TYPE
T450001,T4500,T450,Zonal Fare,1,Normal Zonal
U172001,U1720,172,Zonal Fare,1,Normal Zonal
K301002,K3010,301,Zonal Fare,2,Normal Zonal
U180001,U1800,180,Zonal Fare,1,Normal Zonal
U301001,U3010,301,Zonal Fare,1,Normal Zonal
U450001,U4500,450,Zonal Fare,1,Normal Zonal
U250001,U2500,250,Zonal Fare,1,Normal Zonal
U651001,U6510,651,Zonal Fare,1,Normal Zonal
K301001,K3010,301,Zonal Fare,1,Normal Zonal
T250002,T2500,T250,Flat Fare,2,Normal Flat
T250002,T2500,T250,Flat Fare,2,Normal Flat
T250102,T2501,T250B,Flat Fare,2,Normal Flat
T251002,T2510,T251,Flat Fare,2,Normal Flat
T252002,T2520,T252,Flat Fare,2,Normal Flat
T300002,T3000,T300,Flat Fare,2,Normal Flat
T301001,T3010,T301,Flat Fare,1,Normal Flat
T301002,T3010,T301,Flat Fare,2,Normal Flat
T302001,T3020,T302,Flat Fare,1,Normal Flat
T302002,T3020,T302,Flat Fare,2,Normal Flat
T303002,T3030,T303,Flat Fare,2,Normal Flat
T304002,T3040,T304,Flat Fare,2,Normal Flat
T305001,T3050,T305,Flat Fare,1,Normal Flat
T305002,T3050,T305,Flat Fare,2,Normal Flat
K401001,K4010,401,Zonal Fare,1,Normal Zonal
K500001,K5000,500,Zonal Fare,1,Normal Zonal
T350002,T3500,T350,Flat Fare,2,Normal Flat
T351002,T3510,T351,Flat Fare,2,Normal Flat
T352002,T3520,T352,Flat Fare,2,Normal Flat
T400001,T4000,T400,Flat Fare,1,Normal Flat
T400002,T4000,T400,Flat Fare,2,Normal Flat
T401001,T4010,T401,Flat Fare,1,Normal Flat
T401002,T4010,T401,Flat Fare,2,Normal Flat
T402002,T4020,T402,Flat Fare,2,Normal Flat
T403001,T4030,T403,Flat Fare,1,Normal Flat
T403002,T4030,T403,Flat Fare,2,Normal Flat
T404001,T4040,T404,Flat Fare,1,Normal Flat
T404002,T4040,T404,Flat Fare,2,Normal Flat
T405002,T4050,T405,Flat Fare,2,Normal Flat
T408001,T4080,T408,Flat Fare,1,Normal Flat
T408002,T4080,T408,Flat Fare,2,Normal Flat
T410002,T4100,T410,Flat Fare,2,Normal Flat
T416001,T4160,T416,Flat Fare,1,Normal Flat
T416002,T4160,T416,Flat Fare,2,Normal Flat
T417001,T4170,T417,Flat Fare,1,Normal Flat
T417002,T4170,T417,Flat Fare,2,Normal Flat
T418001,T4180,T418,Flat Fare,1,Normal Flat
T418002,T4180,T418,Flat Fare,2,Normal Flat
T419002,T4190,T419,Flat Fare,2,Normal Flat
T504001,T5040,T504,Flat Fare,1,Normal Flat
T505001,T5050,T505,Flat Fare,1,Normal Flat
T506001,T5060,T506,Flat Fare,1,Normal Flat
T507001,T5070,T507,Flat Fare,1,Normal Flat
T508001,T5080,T508,Flat Fare,1,Normal Flat
T508002,T5080,T508,Flat Fare,2,Normal Flat
T509001,T5090,T509,Flat Fare,1,Normal Flat
T509002,T5090,T509,Flat Fare,2,Normal Flat
K100002,K1000,100,Zonal Fare,2,Normal Zonal
T510001,T5100,T510,Flat Fare,1,Normal Flat
T510002,T5100,T510,Flat Fare,2,Normal Flat
T511001,T5110,T511,Flat Fare,1,Normal Flat
T511002,T5110,T511,Flat Fare,2,Normal Flat
T512002,T5120,T512,Flat Fare,2,Normal Flat
T542002,T5420,T542,Flat Fare,2,Normal Flat
T543002,T5430,T543,Flat Fare,2,Normal Flat
T544002,T5440,T544,Flat Fare,2,Normal Flat
T559002,T5590,T559,Flat Fare,2,Normal Flat
T560002,T5600,T560,Flat Fare,2,Normal Flat
T561002,T5610,T561,Flat Fare,2,Normal Flat
T562002,T5620,T562,Flat Fare,2,Normal Flat
T563002,T5630,T563,Flat Fare,2,Normal Flat
T564002,T5640,T564,Flat Fare,2,Normal Flat
T565002,T5650,T565,Flat Fare,2,Normal Flat
