No,bus_no,depot,bus_model
910,PLQ4374,Mak Mandin,SCANIA K250 B
911,VAH9067,MRT Sungai Buloh,VOLVO MRT
912,WB1397K,Putrajaya,ALEXANDER DENNIS E200
913,PKY1272,Sungai Nibong,SCANIA K250
914,WVH7655,Batu Caves,MAN
915,WPX1366,Cheras Selatan,VOLVO SD B7RLE
916,VAF7167,MRT Kajang,SCANIA K250 MRT
917,PKX3289,Balik Pulau,SCANIA K250
918,WB495G,Maluri,ALEXANDER DENNIS E500
919,WVE5160,Maluri,MAN
920,VEN3891,Maluri,VOLVO DD B8L
921,WUY4966,MRT Serdang,SCANIA K270
922,VG8703,MRT Sungai Buloh,VOLVO MRT
923,WB1120K,Putrajaya,ALEXANDER DENNIS E200
924,WC4980B,Putrajaya,ALEXANDER DENNIS E200
925,WUY4084,Shah Alam,SCANIA K270
926,PJK1473,Shah Alam,SCANIA K270 10
927,PLU3895,Sungai Nibong,SCANIA K250 A
928,PJK1498,Weld Quay,SCANIA K270 10
929,WB3643M,Batu Caves,ALEXANDER DENNIS E200
930,WVH7906,Batu Caves,MAN
931,WVF5487,Batu Caves,SCANIA K270
932,WVH1676,Batu Caves,SCANIA K270
933,WB1862U,Cheras Selatan,SCANIA K250 A
934,WB1904C,Cheras Selatan,SCANIA K250 A
935,WB1938U,Cheras Selatan,SCANIA K250 A
936,VEL9768,Maluri,VOLVO DD B8L
937,VEY4750,Maluri,VOLVO DD B8L
938,CDD1422,MRT Serdang,SCANIA K250
939,VH4268,MRT Serdang,VOLVO MRT
940,VAJ2850,MRT Sungai Buloh,VOLVO MRT
941,VG8580,MRT Sungai Buloh,VOLVO MRT
942,WB9433J,Putrajaya,ALEXANDER DENNIS E200
943,WB4630S,Shah Alam,ALEXANDER DENNIS E200
944,PLV2759,Sungai Nibong,SCANIA K250 A
945,PLA7462,Tanjung Bungah,SCANIA K250
946,PKX3276,Weld Quay,SCANIA K250
947,WB759L,Cheras Selatan,SCANIA K250 A
948,WB946L,Cheras Selatan,SCANIA K250 A
949,WB5661Q,Batu Caves,SCANIA K250 A
950,PJH4721,Batu Caves,SCANIA K270 10
951,WB5734H,Cheras Selatan,SCANIA K250 A
952,PLV2902,Mak Mandin,SCANIA K250 A
953,WVP2518,Maluri,MAN
954,CDH7526,Shah Alam,SCANIA K250
955,PKX3352,Sungai Nibong,SCANIA K250
956,PKX3214,Tanjung Bungah,SCANIA K250
957,WVD3246,Shah Alam,SCANIA K270
958,PLA2900,Weld Quay,SCANIA K250
959,WUW1421,Batu Caves,KING LONG IC 100
960,PJK1443,Mak Mandin,SCANIA K270 10
961,WVE5821,Shah Alam,SCANIA K270
962,WB3632M,Batu Caves,ALEXANDER DENNIS E200
963,WC1079A,Batu Caves,ALEXANDER DENNIS E200
964,PLP9016,Mak Mandin,SCANIA K250 B
965,WVE4911,Maluri,MAN
966,PLP9085,Nibong Tebal,SCANIA K250 B
967,WVB3658,Batu Caves,MAN
968,WVH7754,Cheras Selatan,MAN
969,WB837U,Cheras Selatan,SCANIA K250 A
970,WB8554D,Cheras Selatan,SCANIA K250 A
971,W304T,Cheras Selatan,SCANIA K250 B
972,VH2499,MRT Serdang,SCANIA K250 MRT
973,VAC5746,MRT Sungai Buloh,VOLVO MRT
974,VH1562,MRT Sungai Buloh,VOLVO MRT
975,WB5638Q,Batu Caves,SCANIA K250 A
976,WVG5306,Batu Caves,SCANIA K270
977,WB9037F,Cheras Selatan,SCANIA K250 A
978,PLV2893,Mak Mandin,SCANIA K250 A
979,PJF1346,Mak Mandin,SCANIA K270 12
980,WVP2448,Maluri,MAN
981,WUW1480,Maluri,SCANIA K270
982,VG8654,MRT Sungai Buloh,VOLVO MRT
983,PLP9146,Nibong Tebal,SCANIA K250 B
984,WA2691M,Shah Alam,SCANIA K250 A
985,WB5651H,Shah Alam,SCANIA K250 A
986,W4700V,Shah Alam,SCANIA K250 B
987,WVA3032,Shah Alam,SCANIA K270
988,PLA7459,Sungai Nibong,SCANIA K250
989,PJJ4743,Balik Pulau,SCANIA K270 10
990,WB5429U,Maluri,ALEXANDER DENNIS E500
991,VAF5430,MRT Kajang,SCANIA K250 MRT
992,VAG8053,MRT Kajang,SCANIA K250 MRT
993,VH2494,MRT Serdang,SCANIA K250 MRT
994,VH2687,MRT Serdang,SCANIA K250 MRT
995,VG8715,MRT Sungai Buloh,VOLVO MRT
996,PJL9432,Nibong Tebal,SCANIA K270 10
997,WB8092M,Shah Alam,SCANIA K250 A
998,PKY1281,Sungai Nibong,SCANIA K250
999,PJL9082,Weld Quay,SCANIA K270 10
1000,WB4906V,Cheras Selatan,SCANIA K250 A
1001,PLV2917,Mak Mandin,SCANIA K250 A
1002,WC2139N,Shah Alam,ALEXANDER DENNIS E200
1003,VH1552,MRT Sungai Buloh,VOLVO MRT
1004,PLN4507,Mak Mandin,SCANIA K250 B
1005,WVA3050,Maluri,SCANIA K270
1006,WB3596Q,Batu Caves,ALEXANDER DENNIS E200
1007,WB7246P,Batu Caves,SCANIA K250 A
1008,WB872U,Cheras Selatan,SCANIA K250 A
1009,W4958R,Cheras Selatan,SCANIA K250 B
1010,WVB7345,Maluri,SCANIA K270
1011,VH2537,MRT Serdang,SCANIA K250 MRT
1012,WVE5835,Shah Alam,SCANIA K270
1013,WVE5102,Batu Caves,MAN
1014,WUW1483,Batu Caves,SCANIA K270
1015,WPX622,Cheras Selatan,VOLVO SD B7RLE
1016,PJK2739,Mak Mandin,SCANIA K270 10
1017,WVJ8196,Maluri,MAN
1018,VGH3094,Maluri,VOLVO DD B8L
1019,VX2897,MRT Kajang,SCANIA K250 MRT
1020,VK2684,MRT Serdang,SCANIA K250 MRT
1021,VAJ2857,MRT Sungai Buloh,VOLVO MRT
1022,WC4436C,Putrajaya,ALEXANDER DENNIS E200
1023,WB870L,Shah Alam,SCANIA K250 A
1024,VFJ376,Shah Alam,VOLVO DD B8L
1025,PLQ4404,Balik Pulau,SCANIA K250 B
1026,WVB5772,Batu Caves,KING LONG IC 100
1027,WB5708Q,Batu Caves,SCANIA K250 A
1028,BNG4112,BRT Sunway,BUILD YOUR DREAM
1029,WB8625F,Cheras Selatan,SCANIA K250 A
1030,VAG4673,MRT Kajang,SCANIA K250 MRT
1031,VAG4722,MRT Kajang,SCANIA K250 MRT
1032,W1048S,Shah Alam,SCANIA K250 B
1033,PLV1635,Sungai Nibong,SCANIA K250 A
1034,WVP2546,Batu Caves,MAN
1035,WB2434Q,Cheras Selatan,SCANIA K250 A
1036,PLV2773,Mak Mandin,SCANIA K250 A
1037,VAF7116,MRT Kajang,SCANIA K250 MRT
1038,VG6519,MRT Sungai Buloh,VOLVO MRT
1039,WC2145N,Shah Alam,ALEXANDER DENNIS E200
1040,WUT8479,Shah Alam,SCANIA K270
1041,WVH9704,Batu Caves,SCANIA K270
1042,PLW5953,Mak Mandin,SCANIA K250 A
1043,VG8769,MRT Sungai Buloh,VOLVO MRT
1044,VH1373,MRT Sungai Buloh,VOLVO MRT
1045,VH4107,MRT Sungai Buloh,VOLVO MRT
1046,PLP9142,Nibong Tebal,SCANIA K250 B
1047,WUW4140,Shah Alam,SCANIA K270
1048,PLA7457,Tanjung Bungah,SCANIA K250
1049,WVH7650,Batu Caves,MAN
1050,WUW4733,Shah Alam,SCANIA K270
1051,WVC6468,Shah Alam,SCANIA K270
1052,PLA7450,Tanjung Bungah,SCANIA K250
1053,WB5709U,Academy,ALEXANDER DENNIS E200
1054,WUU6736,Batu Caves,KING LONG IC 100
1055,PJF1353,Mak Mandin,SCANIA K270 12
1056,PJF1361,Mak Mandin,SCANIA K270 12
1057,VM1897,MRT Kajang,SCANIA K250 MRT
1058,WC657F,Putrajaya,ALEXANDER DENNIS E200
1059,PLA2946,Sungai Nibong,SCANIA K250
1060,PLQ2152,Sungai Nibong,SCANIA K250 B
1061,PJJ3372,Tanjung Bungah,SCANIA K270 10
1062,WB3150B,Cheras Selatan,SCANIA K250 A
1063,WB8441H,Cheras Selatan,SCANIA K250 A
1064,W5623V,Cheras Selatan,SCANIA K250 B
1065,WPX645,Cheras Selatan,VOLVO SD B7RLE
1066,PLV1714,Mak Mandin,SCANIA K250 A
1067,PLV3067,Mak Mandin,SCANIA K250 A
1068,PLW5841,Mak Mandin,SCANIA K250 A
1069,PLQ2092,Mak Mandin,SCANIA K250 B
1070,WVP2536,Maluri,MAN
