No,bus_no,depot,bus_model
551,W7952S,Batu Caves,SCANIA K250 B
552,WA3648G,Batu Caves,SCANIA K250 B
553,VFE4091,Batu Caves,VOLVO DD B8L
554,WB5608Q,Cheras Selatan,SCANIA K250 A
555,WA1376G,Cheras Selatan,SCANIA K250 B
556,VGY9558,Cheras Selatan,VOLVO DD B8L
557,VGG9481,Maluri,VOLVO DD B8L
558,VAE7537,MRT Kajang,SCANIA K250 MRT
559,VH2547,MRT Serdang,SCANIA K250 MRT
560,VK2745,MRT Serdang,SCANIA K250 MRT
561,VAJ2875,MRT Sungai Buloh,VOLVO MRT
562,VG6473,MRT Sungai Buloh,VOLVO MRT
563,PMQ3578,Putrajaya,ALEXANDER DENNIS E200
564,WB3346N,Shah Alam,SCANIA K250 A
565,W7743T,Shah Alam,SCANIA K250 B
566,WVA2966,Shah Alam,SCANIA K270
567,WVE5061,Batu Caves,MAN
568,WB6417S,Batu Caves,SCANIA K250 A
569,VGK8915,Cheras Selatan,VOLVO DD B8L
570,VHB3371,Cheras Selatan,VOLVO DD B8L
571,PJJ3342,Mak Mandin,SCANIA K270 10
572,PJL9805,Mak Mandin,SCANIA K270 10
573,VAC5764,MRT Sungai Buloh,VOLVO MRT
574,WVB6987,Shah Alam,SCANIA K270
575,WVD3251,Shah Alam,SCANIA K270
576,WVF1427,Shah Alam,SCANIA K270
577,PKX3237,Sungai Nibong,SCANIA K250
578,PJJ3296,Sungai Nibong,SCANIA K270 10
579,WPV6652,Cheras Selatan,VOLVO SD B7RLE
580,PJJ260,Mak Mandin,SCANIA K270 10
581,VH4030,MRT Kajang,SCANIA K250 MRT
582,PLW5998,Nibong Tebal,SCANIA K250 A
583,WUW8410,Batu Caves,KING LONG IC 100
584,WB7597P,Batu Caves,SCANIA K250 A
585,W3525T,Cheras Selatan,SCANIA K250 B
586,VH2480,MRT Serdang,SCANIA K250 MRT
587,PKX3387,Sungai Nibong,SCANIA K250
588,WUW2542,Batu Caves,KING LONG IC 100
589,WQA7095,Batu Caves,MERCEDES SKS 150
590,VFK4581,Batu Caves,VOLVO DD B8L
591,PLP9134,Mak Mandin,SCANIA K250 B
592,W3354R,Maluri,SCANIA K250 B
593,VAF5464,MRT Kajang,SCANIA K250 MRT
594,VAJ3415,MRT Kajang,SCANIA K250 MRT
595,VH3751,MRT Kajang,SCANIA K250 MRT
596,VAF5439,MRT Serdang,SCANIA K250 MRT
597,WB5549U,Putrajaya,ALEXANDER DENNIS E200
598,WUY4954,Shah Alam,SCANIA K270
599,WVA3157,Shah Alam,SCANIA K270
600,PLV2797,Balik Pulau,SCANIA K250 A
601,PJL9946,Balik Pulau,SCANIA K270 10
602,WVC6476,Batu Caves,SCANIA K270
603,WVH9827,Batu Caves,SCANIA K270
604,WQA7920,Cheras Selatan,VOLVO SD B7RLE
605,WVN7821,Maluri,MAN
606,VH2531,MRT Serdang,SCANIA K250 MRT
607,VH4037,MRT Serdang,SCANIA K250 MRT
608,VAC9627,MRT Sungai Buloh,VOLVO MRT
609,VH4671,MRT Sungai Buloh,VOLVO MRT
610,WC5698K,Putrajaya,ALEXANDER DENNIS E200
611,PLW5947,Sungai Nibong,SCANIA K250 A
612,WUW1485,Batu Caves,KING LONG IC 100
613,W4986V,Batu Caves,SCANIA K250 B
614,PJJ7149,Batu Caves,SCANIA K270 12
615,WC4453C,Cheras Selatan,ALEXANDER DENNIS E200
616,VGJ2001,Cheras Selatan,VOLVO DD B8L
617,WPX5245,Cheras Selatan,VOLVO SD B7RLE
618,VAF5425,MRT Kajang,SCANIA K250 MRT
619,VH4089,MRT Kajang,SCANIA K250 MRT
620,VX3537,MRT Kajang,SCANIA K250 MRT
621,VAF5434,MRT Serdang,SCANIA K250 MRT
622,VH2478,MRT Serdang,SCANIA K250 MRT
623,WVG3358,MRT Serdang,SCANIA K270
624,VAG4872,MRT Sungai Buloh,VOLVO MRT
625,WB5493H,Shah Alam,SCANIA K250 A
626,WUY4958,Sungai Nibong,SCANIA K270
627,PKX3499,Balik Pulau,SCANIA K250
628,WUW1285,Batu Caves,KING LONG IC 100
629,WVA4383,Batu Caves,KING LONG IC 100
630,WVB4163,Batu Caves,KING LONG IC 100
631,WVH6234,Batu Caves,SCANIA K270
632,PJM4305,Batu Caves,SCANIA K270 10
633,WB792L,Cheras Selatan,SCANIA K250 A
634,VGK1642,Cheras Selatan,VOLVO DD B8L
635,WPX5493,Cheras Selatan,VOLVO SD B7RLE
636,WPX5770,Cheras Selatan,VOLVO SD B7RLE
637,WPX6151,Cheras Selatan,VOLVO SD B7RLE
638,PJH4806,Mak Mandin,SCANIA K270 12
639,WVP2544,Maluri,MAN
640,VEQ7949,Maluri,VOLVO DD B8L
641,VAE7408,MRT Kajang,SCANIA K250 MRT
642,VAF5339,MRT Kajang,SCANIA K250 MRT
643,VAF6410,MRT Kajang,SCANIA K250 MRT
644,VAG8049,MRT Kajang,SCANIA K250 MRT
645,VAJ1482,MRT Kajang,SCANIA K250 MRT
646,VAH9044,MRT Sungai Buloh,VOLVO MRT
647,WB3234N,Shah Alam,SCANIA K250 A
648,WUW4133,Shah Alam,SCANIA K270
649,PJJ5202,Shah Alam,SCANIA K270 10
650,WVB5646,Batu Caves,KING LONG IC 100
651,WVD4189,Batu Caves,SCANIA K270
652,VGL1376,Maluri,VOLVO DD B8L
653,VAF5441,MRT Kajang,SCANIA K250 MRT
654,VH4043,MRT Kajang,SCANIA K250 MRT
655,VAJ6314,MRT Sungai Buloh,VOLVO MRT
656,VG6491,MRT Sungai Buloh,VOLVO MRT
657,WVH6414,Shah Alam,SCANIA K270
658,PLW2715,Sungai Nibong,SCANIA K250 A
659,PJG6913,Sungai Nibong,SCANIA K270 10
660,WVH9549,Batu Caves,SCANIA K270
661,PJG4312,Sungai Nibong,SCANIA K270 10
662,PJJ7259,Sungai Nibong,SCANIA K270 10
663,WB7417K,Cheras Selatan,SCANIA K250 A
664,WB8449K,Cheras Selatan,SCANIA K250 A
665,WVA5831,Academy,KING LONG IC 100
666,WC965F,Batu Caves,ALEXANDER DENNIS E200
667,WC1784M,Cheras Selatan,ALEXANDER DENNIS E200
668,WVP2522,Maluri,MAN
669,VH2540,MRT Kajang,SCANIA K250 MRT
670,VH4059,MRT Kajang,SCANIA K250 MRT
671,WVH6171,MRT Serdang,SCANIA K270
672,PJH2922,Sungai Nibong,SCANIA K270 10
